Elapsed time;TimeUTC;GpsHeightMSL;P;Temp;RH;Dewp;Dir;Speed;CompAz;CompRng;Lat;Lon;KeyFlags;O3Current;O3;BoxTemperature;O3Voltage;O3PumpCurrent
s;hh:mm:ss;m;hPa;�C;%;�C;�;m/s;�;m;�;�;;�A;mPa;�C;V;mA
0.00;22:57:51;491.0;956.70;1.60;95.4;0.95;206;0.90;0;0;46.813;6.943;TUdfv             ;/////////;///;//////////////;/////////;/////////////
0.70;22:57:52;495.0;955.92;1.86;100.0;1.86;213;1.09;177;30;46.813;6.943;                  ;/////////;///;//////////////;/////////;/////////////
1.70;22:57:53;499.0;955.70;2.15;99.6;2.09;216;1.26;174;41;46.813;6.943;                  ;/////////;///;//////////////;/////////;/////////////
2.70;22:57:54;503.3;955.32;2.67;98.7;2.48;216;1.38;170;43;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
3.70;22:57:55;509.0;954.61;3.26;96.5;2.76;217;1.48;163;40;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
4.70;22:57:56;515.7;953.72;3.59;94.0;2.72;217;1.56;155;36;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
5.70;22:57:57;522.3;953.01;3.80;92.1;2.64;217;1.63;146;32;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
6.70;22:57:58;528.7;952.24;4.03;90.6;2.64;217;1.69;136;30;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
7.70;22:57:59;534.8;951.54;4.20;89.4;2.62;217;1.74;128;29;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
8.70;22:58:00;540.5;950.88;4.40;88.4;2.65;218;1.78;121;29;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
9.70;22:58:01;546.3;950.23;4.61;86.9;2.62;218;1.81;116;29;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
10.70;22:58:02;552.5;949.51;4.88;84.8;2.55;218;1.83;113;29;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
11.70;22:58:03;559.2;948.69;5.08;83.3;2.49;219;1.84;113;28;46.813;6.944;T                 ;/////////;///;//////////////;/////////;/////////////
12.70;22:58:04;565.9;947.94;5.17;82.6;2.46;219;1.84;115;29;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
13.70;22:58:05;572.5;947.16;5.18;82.4;2.44;220;1.84;117;29;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
14.70;22:58:06;578.9;946.43;5.15;82.5;2.43;221;1.82;118;30;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
15.70;22:58:07;584.8;945.78;5.13;82.9;2.47;222;1.80;117;30;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
16.70;22:58:08;590.3;945.17;5.11;83.2;2.50;222;1.78;114;29;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
17.70;22:58:09;595.1;944.56;5.08;83.2;2.47;224;1.76;111;29;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
18.70;22:58:10;598.5;944.02;5.07;82.9;2.41;225;1.73;109;30;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
20.70;22:58:12;601.6;943.87;5.06;82.2;2.29;227;1.67;104;32;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
21.70;22:58:13;604.5;943.47;5.06;82.1;2.25;229;1.64;102;34;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
22.70;22:58:14;608.5;942.97;5.03;82.0;2.22;231;1.62;99;36;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
23.70;22:58:15;613.2;942.42;5.03;82.0;2.21;232;1.60;95;38;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
24.70;22:58:16;618.3;941.84;5.07;81.8;2.22;234;1.59;92;39;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
25.70;22:58:17;623.8;941.21;5.11;81.5;2.22;236;1.58;88;41;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
26.70;22:58:18;629.6;940.62;5.21;81.3;2.27;238;1.58;84;43;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
27.70;22:58:19;635.9;939.85;5.26;81.1;2.29;239;1.58;81;44;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
28.70;22:58:20;642.0;939.11;5.27;81.0;2.29;241;1.60;79;45;46.813;6.944;T                 ;/////////;///;//////////////;/////////;/////////////
29.70;22:58:21;647.4;938.49;5.27;81.1;2.29;243;1.62;78;46;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
30.70;22:58:22;652.0;937.98;5.26;81.2;2.31;244;1.64;79;47;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
31.70;22:58:23;656.2;937.56;5.26;81.3;2.33;245;1.67;81;48;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
32.70;22:58:24;661.0;936.99;5.23;81.5;2.32;247;1.71;82;49;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
33.70;22:58:25;666.4;936.31;5.18;81.6;2.30;248;1.75;84;50;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
34.70;22:58:26;671.8;935.72;5.15;81.8;2.30;249;1.80;86;52;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
35.70;22:58:27;677.1;935.12;5.14;81.9;2.32;249;1.85;88;53;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
36.70;22:58:28;682.3;934.51;5.12;82.1;2.33;250;1.91;88;54;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
37.70;22:58:29;687.5;933.92;5.11;82.4;2.37;250;1.98;88;55;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
38.70;22:58:30;692.5;933.35;5.12;82.5;2.39;250;2.05;87;56;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
39.70;22:58:31;697.8;932.76;5.12;82.4;2.37;250;2.13;85;58;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
40.70;22:58:32;703.4;932.10;5.12;82.2;2.34;250;2.22;83;60;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
41.70;22:58:33;709.4;931.43;5.09;82.1;2.30;250;2.31;82;63;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
42.70;22:58:34;716.1;930.69;5.05;82.1;2.26;250;2.40;81;66;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
43.70;22:58:35;722.8;929.88;5.04;82.1;2.24;249;2.51;81;70;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
44.70;22:58:36;729.3;929.15;5.02;82.1;2.23;249;2.62;81;73;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
45.70;22:58:37;735.2;928.46;4.96;82.3;2.21;248;2.73;81;77;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
46.70;22:58:38;740.4;927.93;4.91;82.5;2.20;248;2.85;82;80;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
47.70;22:58:39;745.7;927.36;4.86;82.8;2.19;247;2.98;83;83;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
48.70;22:58:40;751.5;926.60;4.82;83.0;2.18;246;3.12;83;85;46.813;6.945;                  ;/////////;///;//////////////;/////////;/////////////
49.70;22:58:41;756.9;925.99;4.78;83.3;2.20;245;3.25;83;87;46.813;6.945;                  ;/////////;///;//////////////;/////////;/////////////
