EDT LEVEL OUTPUT
Time  Height     P     T     U    WS  WD 
0000    491    958.8    16.65    88    0    0
0002    498    958.1    17.25    83    0    0
0004    504    957.3    17.45    82    0    0
0006    511    956.6    17.95    81    0    0
0008    520    955.6    18.25    80    0    0
0010    529    954.6    18.35    79    0    0
0012    539    953.4    18.35    78    0.5    360
0014    549    952.3    18.35    77    0.7    210
0016    558    951.3    18.35    77    0.9    211
0018    567    950.3    18.25    77    1.2    212
0020    578    949.1    18.25    77    1.5    214
0022    589    947.9    18.35    76    1.8    215
0024    599    946.8    18.35    76    2.1    216
0026    609    945.7    18.35    76    2.3    217
0028    621    944.4    18.35    76    2.6    219
0030    631    943.3    18.35    75    2.8    220
0032    642    942.1    18.35    75    2.9    222
0034    652    941    18.25    75    3.1    224
0036    662    939.9    18.15    75    3.2    226
0038    672    938.8    18.35    75    3.3    228
0040    681    937.8    18.75    75    3.3    230
0042    689    936.9    19.15    73    3.4    232
0044    698    936    19.45    71    3.4    235
0046    706    935.1    19.75    70    3.5    237
0048    715    934.2    19.95    69    3.5    239
0050    722    933.3    20.05    68    3.6    241
0052    732    932.3    19.95    68    3.7    242
0054    744    931    19.95    68    3.8    244
0056    755    929.8    19.85    68    3.8    245
0058    766    928.7    19.75    68    3.9    246
0060    774    927.8    19.65    68    4    247
0062    782    926.9    19.65    68    4.1    248
0064    792    925.8    19.65    68    4.2    249
0066    802    924.7    19.55    68    4.3    250
0068    811    923.8    19.45    68    4.3    251
0070    819    922.9    19.35    68    4.4    253
0072    828    922    19.25    68    4.4    254
0074    836    921.1    19.15    68    4.4    255
0076    845    920.1    19.15    68    4.4    256
0078    855    919.1    19.05    69    4.5    256
0080    865    918    18.95    69    4.5    257
0082    874    917    18.85    69    4.5    258
0084    882    916.2    18.85    69    4.5    258
0086    892    915.1    18.75    69    4.5    258
0088    902    914.1    18.65    69    4.5    257
0090    912    913    18.65    69    4.5    257
0092    921    912.1    18.65    69    4.5    256
0094    930    911.1    18.55    69    4.6    255
0096    939    910.2    18.45    69    4.6    254
0098    948    909.2    18.45    69    4.7    253
0100    958    908.2    18.45    69    4.7    252
0102    966    907.3    18.35    69    4.8    251
0104    975    906.4    18.25    70    4.9    250
0106    984    905.3    18.25    70    5    249
0108    995    904.2    18.15    70    5.1    248
0110    1005    903.2    18.05    71    5.2    247
0112    1014    902.3    18.05    72    5.4    247
0114    1024    901.1    17.95    73    5.5    246
0116    1035    900.1    17.85    73    5.6    246
0118    1043    899.2    17.75    74    5.7    245
0120    1053    898.2    17.65    75    5.8    245
0122    1064    897    17.65    75    5.9    245
0124    1074    895.9    17.55    75    6.1    244
0126    1083    895    17.45    75    6.2    244
0128    1092    894    17.45    75    6.3    244
0130    1102    893.1    17.35    75    6.4    243
0132    1110    892.1    17.25    76    6.6    243
0134    1120    891.1    17.15    76    6.7    243
0136    1129    890.1    17.15    76    6.9    242
0138    1139    889.1    17.05    76    7.1    242
0140    1149    888.1    16.95    76    7.3    242
0142    1159    887.1    16.85    77    7.5    242
0144    1169    886    16.75    77    7.7    241
0146    1179    885    16.75    77    7.9    241
0148    1189    884    16.65    78    8.1    241
0150    1198    883    16.55    78    8.3    240
0152    1207    882.1    16.55    78    8.5    240
0154    1218    881    16.45    79    8.7    240
0156    1226    880.1    16.35    79    8.9    240
0158    1236    879.1    16.35    79    9    239
0160    1247    877.9    16.25    80    9.2    239
0162    1259    876.7    16.15    80    9.3    239
0164    1270    875.7    16.15    80    9.5    239
0166    1278    874.8    16.05    80    9.6    239
0168    1286    874    16.05    80    9.7    239
0170    1297    872.9    16.05    80    9.7    239
0172    1307    871.8    15.95    80    9.8    239
0174    1316    870.9    15.85    81    9.9    239
0176    1326    869.8    15.85    81    10    239
0178    1338    868.7    15.75    80    10.1    239
0180    1349    867.5    15.75    80    10.2    239
0182    1359    866.5    15.65    80    10.2    239
0184    1368    865.6    15.55    80    10.3    239
0186    1376    864.7    15.45    80    10.4    239
0188    1387    863.7    15.45    80    10.5    239
0190    1398    862.5    15.35    80    10.6    239
0192    1408    861.5    15.25    80    10.7    239
0194    1417    860.6    15.15    81    10.8    238
0196    1427    859.6    15.05    81    10.8    238
0198    1438    858.5    14.95    81    10.9    238
0200    1447    857.6    14.85    81    11    237
0202    1455    856.8    14.85    82    11.1    237
0204    1465    855.8    14.75    82    11.2    237
0206    1476    854.7    14.65    82    11.2    236
0208    1486    853.7    14.55    83    11.3    236
0210    1495    852.7    14.45    83    11.4    236
0212    1506    851.6    14.45    82    11.4    236
0214    1517    850.5    14.45    81    11.5    236
0216    1531    849.1    14.35    81    11.5    236
0218    1545    847.7    14.25    81    11.6    235
0220    1559    846.3    14.15    81    11.6    235
0222    1570    845.2    14.05    81    11.6    235
