# event_dt: 2020-01-02T120000Z
# batch_id: b1
# instr_id: i1
# event_id: e2
# day_event: True

Elapsed time;TimeUTC;GpsHeightMSL;P;Temp;RH;Dewp;Dir;Speed;CompAz;CompRng;Lat;Lon;KeyFlags;O3Current;O3;BoxTemperature;O3Voltage;O3PumpCurrent
s;hh:mm:ss;m;hPa;°C;%;°C;°;m/s;°;m;°;°;;µA;mPa;°C;V;mA
0.00;10:55:52;491.0;958.44;4.40;79.9;1.24;22;3.70;0;0;46.813;6.944;TUdfv             ;/////////;///;//////////////;/////////;/////////////
1.00;10:55:53;496.3;957.64;NA;85.3;1.93;30;4.33;175;35;46.813;6.944;                  ;/////////;///;//////////////;/////////;/////////////
2.00;10:55:54;500.1;957.33;3.94;85.0;1.66;33;4.74;177;53;46.813;6.943;                  ;/////////;///;//////////////;/////////;/////////////
3.00;10:55:55;504.0;956.93;3.90;85.5;1.69;34;5.04;180;65;46.813;6.943;                  ;/////////;///;//////////////;/////////;/////////////
4.00;10:55:56;508.0;956.44;3.88;85.3;1.65;35;5.27;182;74;46.813;6.943;                  ;/////////;///;//////////////;/////////;/////////////
5.00;10:55:57;512.7;955.87;3.70;85.1;1.43;36;5.48;185;81;46.813;6.943;                  ;/////////;///;//////////////;/////////;/////////////
6.00;10:55:58;518.1;955.25;3.55;85.1;1.29;37;5.68;187;88;46.812;6.943;                  ;/////////;///;//////////////;/////////;/////////////
7.00;10:55:59;523.8;954.60;3.45;85.2;1.21;38;5.87;190;96;46.812;6.943;                  ;/////////;///;//////////////;/////////;/////////////
8.00;10:56:00;529.1;953.97;3.35;85.3;1.13;39;6.05;192;103;46.812;6.943;                  ;/////////;///;//////////////;/////////;/////////////
9.00;10:56:01;534.0;953.38;3.30;85.3;1.08;40;6.22;194;110;46.812;6.943;                  ;/////////;///;//////////////;/////////;/////////////
10.00;10:56:02;538.9;952.80;3.26;85.6;1.08;41;6.37;195;117;46.812;6.943;                  ;/////////;///;//////////////;/////////;/////////////
11.00;10:56:03;544.2;952.17;3.18;85.9;1.06;43;6.52;197;124;46.812;6.943;                  ;/////////;///;//////////////;/////////;/////////////
12.00;10:56:04;550.0;951.49;3.08;86.2;1.02;44;6.65;198;131;46.812;6.943;                  ;/////////;///;//////////////;/////////;/////////////
13.00;10:56:05;556.2;950.77;3.03;86.5;1.00;45;6.78;199;138;46.812;6.943;                  ;/////////;///;//////////////;/////////;/////////////
14.00;10:56:06;562.5;950.04;2.96;86.8;0.98;47;6.90;199;146;46.812;6.943;                  ;/////////;///;//////////////;/////////;/////////////
15.00;10:56:07;568.8;949.30;2.89;87.1;0.96;48;7.02;200;154;46.812;6.943;                  ;/////////;///;//////////////;/////////;/////////////
16.00;10:56:08;575.2;948.56;2.83;87.3;0.93;50;7.14;201;161;46.812;6.943;                  ;/////////;///;//////////////;/////////;/////////////
17.00;10:56:09;581.4;947.84;2.79;87.5;0.93;51;7.25;202;167;46.812;6.943;                  ;/////////;///;//////////////;/////////;/////////////
18.00;10:56:10;587.3;947.15;2.73;87.6;0.89;53;7.37;203;173;46.812;6.943;                  ;/////////;///;//////////////;/////////;/////////////
19.00;10:56:11;592.8;946.50;2.71;87.2;0.80;54;7.48;204;179;46.812;6.942;                  ;/////////;///;//////////////;/////////;/////////////
20.00;10:56:12;598.0;945.88;2.67;86.4;0.63;56;7.60;206;185;46.812;6.942;                  ;/////////;///;//////////////;/////////;/////////////
21.00;10:56:13;603.2;945.25;2.69;85.3;0.47;57;7.72;207;191;46.812;6.942;                  ;/////////;///;//////////////;/////////;/////////////
22.00;10:56:14;609.0;944.59;2.71;84.8;0.42;59;7.85;208;196;46.812;6.942;                  ;/////////;///;//////////////;/////////;/////////////
23.00;10:56:15;615.0;943.90;2.66;85.4;0.46;60;7.97;210;201;46.812;6.942;                  ;/////////;///;//////////////;/////////;/////////////
24.00;10:56:16;620.9;943.21;2.59;86.1;0.51;61;8.10;211;206;46.812;6.942;  d v             ;/////////;///;//////////////;/////////;/////////////
