# event_dt: 2020-01-02T120000Z
# instr_id: i4
# tag_abbr:
#     - e2
#     - b2
#     - day
Rel. Time;Date;Time;Altitude (gpm);Wind Direction (°);Wind Velocity (m/s);Pressure (hPa);Temperature (°C);Humidity (%);Dewpoint (°C);Ozone (nbar);Ozone normalized (nbar);Pump Temperature (K);I ECC cells (uA);Level Flag;LAT (°);LON (°);ALT (m);STA;SAT;HDOP (m);VDOP (m);GPS Jamming;Battery Voltage (v);Transmitter Voltage (V);FSM state;Error Flag;DIST (m);ALD (m);AZI (°);ELE (°);CR (m/s);U_ref;T_REF (°C);T_A3 (°C);T_10 (°C);V-Corr (°C);T_CH (°C);T_HY50 (°C);DP_HY50 (°C);RH_HY50 (%);RH_MAX (%);RH_HY50_OUTS;TAU_INC;TAU_DEC;RH_HY50_K_LIM;DP_HY50_K
0;19.11.19;10:55:54.0;498.89428;25.31334;6.29413;958.5;4.0889;89.60803;2.38139;;;;;;46.812733;6.943484;498.87523;5611.0;11.0;0.56;8.76268;15.3957;2783.5405;1094.15923;7.0;0.0;403.10479;402.50692;41.09542;1.12832;2.31605;46301.49398;24.06189;4.30118;;-0.21228;5.07691;7.84427;2.38045;66.88146;100.0;89.60803;0.24517;0.30313;89.60803;2.38139
1;19.11.19;10:55:55.0;502.03825;26.20368;6.81891;957.20178;3.98914;88.51513;2.09934;;;;;;46.812659;6.943445;502.01933;5611.0;11.0;0.56;8.73882;15.15946;2783.38183;1094.23797;7.0;0.0;395.09156;395.21086;41.551;1.60067;3.13636;46301.82099;24.06116;4.20167;;-0.21253;4.86403;7.96925;2.08026;64.90907;100.0;88.51513;0.24753;0.30576;88.51513;2.09934
2;19.11.19;10:55:56.0;506.16259;27.35042;7.23096;956.71628;3.59723;87.60623;1.86613;;;;;;46.812586;6.943397;506.14385;5611.0;11.0;0.56;8.71496;15.07793;2783.22317;1094.31672;7.0;0.0;386.64752;386.95862;41.95755;2.24677;4.12452;46302.14801;24.05881;3.80988;;-0.21265;4.65627;8.06225;1.83603;63.31683;100.0;87.60623;0.25714;0.31638;87.60623;1.86613
3;19.11.19;10:55:57.0;511.16469;28.64368;7.53754;956.1272;3.52848;86.98879;1.70925;;;;;;46.812514;6.943344;511.14616;5611.0;11.0;0.56;8.7;15.3177;2783.0645;1094.39546;7.0;0.0;378.02068;378.85279;42.31158;3.0734;4.70579;46302.47502;24.06556;3.74126;;-0.21278;4.45118;8.14124;1.68042;62.32673;100.0;86.98879;0.25888;0.3183;86.98879;1.70925
4;19.11.19;10:55:58.0;516.54472;29.94216;7.71129;955.49377;3.65903;86.49472;1.5388;;;;;;46.812446;6.943288;516.52644;5611.0;11.0;0.56;8.7;15.55746;2782.90583;1094.47421;7.0;0.0;369.52003;371.10533;42.61704;3.98864;4.97754;46302.7;24.06077;3.87194;;-0.21291;4.61009;8.15521;1.52174;61.40264;100.0;86.49472;0.25562;0.3147;86.49472;1.5388
5;19.11.19;10:55:59.0;521.92475;31.24385;7.82943;954.86076;3.44665;86.09867;1.31735;;;;;;46.812386;6.943231;521.90671;5611.0;11.0;0.56;8.7;15.79723;2782.74716;1094.55296;7.0;0.0;361.70103;363.35787;42.82275;4.90388;5.24929;46302.62317;24.05814;3.6597;;-0.21304;4.49696;8.18961;1.37163;60.77929;100.0;86.09867;0.26101;0.32064;86.09867;1.31735
6;19.11.19;10:56:00.0;526.74967;32.66572;7.85107;954.29329;3.2938;85.61571;1.12946;;;;;;46.81233;6.943171;526.73186;5611.0;11.0;0.56;8.7;16.037;2782.5885;1094.6317;7.0;0.0;354.06644;355.99792;42.96223;5.77346;5.10216;46302.3111;24.06542;3.50697;;-0.21317;4.38906;8.17481;1.21933;60.44224;100.0;85.61571;0.2649;0.32492;85.61571;1.12946
7;19.11.19;10:56:01.0;531.05807;34.15607;7.81772;953.7867;3.29101;85.10404;1.02617;;;;;;46.812276;6.943111;531.04048;5611.0;11.0;0.56;8.7;16.27677;2782.42983;1094.71045;7.0;0.0;346.57186;348.99854;43.09201;6.60056;4.56526;46302.43967;24.07308;3.50429;;-0.21328;4.30333;8.16002;1.00035;59.87854;100.0;85.10404;0.26497;0.325;85.10404;1.02617
8;19.11.19;10:56:02.0;535.89449;35.81205;7.73232;953.21818;3.1838;84.67131;0.84045;;;;;;46.812223;6.943055;535.87714;5611.0;11.0;0.56;8.7;16.51654;2782.27116;1094.7892;7.0;0.0;339.38902;342.31731;43.24078;7.53836;4.82886;46302.23355;24.07101;3.3972;;-0.2134;4.23567;8.08208;0.75946;59.52012;100.0;84.67131;0.2678;0.32809;84.67131;0.84045
9;19.11.19;10:56:03.0;541.76969;37.63385;7.62046;952.52755;2.91744;84.40089;0.62385;;;;;;46.812171;6.942993;541.75265;5611.0;11.0;0.56;8.7;16.75631;2782.1125;1094.86794;7.0;0.0;331.87508;335.76909;43.3435;8.70046;5.8755;46301.70387;24.07078;3.13099;;-0.21354;4.10271;7.71264;0.56769;59.97696;100.0;84.40089;0.27495;0.33589;84.40089;0.62385
10;19.11.19;10:56:04.0;548.23384;39.60206;7.50857;951.76792;2.97439;84.31634;0.54057;;;;;;46.812117;6.94293;548.21716;5611.0;11.0;0.56;8.7;16.99608;2782.05194;1094.94669;7.0;0.0;324.26161;329.27141;43.44137;10.01435;6.45433;46301.13425;24.06754;3.1881;;-0.21371;3.93405;7.13578;0.40781;60.8502;100.0;84.31634;0.27339;0.33419;84.31634;0.54057
11;19.11.19;10:56:05.0;554.79525;41.77987;7.40652;950.99736;2.8576;84.40524;0.52088;;;;;;46.812061;6.942868;554.77894;5611.0;11.0;0.56;8.7;17.23585;2782.23044;1095.05151;7.0;0.0;316.49511;322.89936;43.60615;11.39966;6.56178;46300.56043;24.07135;3.07147;;-0.21387;3.99022;6.55892;0.36868;62.30116;100.0;84.40524;0.27657;0.33766;84.40524;0.52088
12;19.11.19;10:56:06.0;561.24615;44.04546;7.31006;950.24026;2.84253;84.66208;0.50861;;;;;;46.812005;6.942807;561.23021;5611.0;11.0;0.56;8.7;17.47562;2782.40894;1095.21097;7.0;0.0;308.77687;316.68623;43.76821;12.8202;6.45046;46299.97839;24.07092;3.05656;;-0.21403;3.93632;6.1426;0.46607;64.33195;100.0;84.66208;0.27699;0.33811;84.66208;0.50861
13;19.11.19;10:56:07.0;567.7193;46.46649;7.22809;949.48102;2.78791;84.99377;0.51459;;;;;;46.811951;6.942745;567.70376;5611.0;11.0;0.56;8.7;17.71539;2782.58743;1095.37044;7.0;0.0;301.17512;310.85021;43.91128;14.29342;6.47586;46299.57892;24.06994;3.0021;;-0.21419;3.85891;5.89433;0.56808;66.27396;100.0;84.99377;0.2785;0.33975;84.99377;0.51459
14;19.11.19;10:56:08.0;574.00328;49.11103;7.17313;948.74442;2.73529;85.31043;0.51692;;;;;;46.811903;6.942682;573.98813;5611.0;11.0;0.56;8.7;17.95516;2782.76593;1095.5299;7.0;0.0;293.97239;305.48179;43.96707;15.77122;6.2961;46299.20866;24.0699;2.94964;;-0.21435;4.13347;5.64607;0.60847;67.88264;100.0;85.31043;0.27996;0.34134;85.31043;0.51692
15;19.11.19;10:56:09.0;580.02141;51.8378;7.12967;948.03944;2.68817;85.54062;0.50919;;;;;;46.81186;6.942613;580.00666;5611.0;11.0;0.56;8.7;17.9355;2782.94443;1095.68936;7.0;0.0;286.89663;300.42517;43.88134;17.25795;6.02361;46298.83839;24.07104;2.90267;;-0.2145;3.95719;5.39798;0.59927;69.18284;100.0;85.54062;0.28128;0.34277;85.54062;0.50919
16;19.11.19;10:56:10.0;586.03003;54.65705;7.12843;947.3361;2.69149;85.65915;0.53373;;;;;;46.811819;6.942537;586.01567;5611.0;11.0;0.56;8.69038;17.85617;2783.12292;1095.84883;7.0;0.0;279.62494;295.43133;43.65577;18.7845;6.01375;46298.46813;24.07086;2.90614;;-0.21465;3.88359;5.19591;0.58591;70.30081;100.0;85.65915;0.28119;0.34267;85.65915;0.53373
17;19.11.19;10:56:11.0;591.42681;57.52227;7.14819;946.70479;2.69105;85.68734;0.55431;;;;;;46.811788;6.942457;591.41282;5611.0;11.0;0.56;8.6798;17.77683;2783.30142;1096.00829;7.0;0.0;272.88659;290.79454;43.21696;20.20691;5.40559;46298.6708;24.06836;2.90583;;-0.21479;3.80999;5.04284;0.55521;71.22426;100.0;85.68734;0.2812;0.34268;85.68734;0.55431
18;19.11.19;10:56:12.0;596.49034;60.25733;7.20576;946.1128;2.68952;85.67875;0.53614;;;;;;46.811762;6.942375;596.4767;5611.0;11.0;0.56;8.66922;17.6975;2783.47992;1096.16776;7.0;0.0;266.52074;286.67061;42.68262;21.595;5.06388;46298.60098;24.06871;2.90444;;-0.21492;3.73639;4.78892;0.51537;72.02309;100.0;85.67875;0.28125;0.34273;85.67875;0.53614
19;19.11.19;10:56:13.0;602.00476;62.72617;7.31224;945.46853;2.74673;85.69233;0.53947;;;;;;46.811738;6.942293;601.99152;5611.0;11.0;0.56;8.65863;17.61817;2783.65842;1096.32722;7.0;0.0;260.33912;283.01299;42.08059;23.09718;5.50794;46298.6674;24.07093;2.96178;;-0.21505;3.6444;4.48847;0.49449;72.83693;100.0;85.69233;0.27964;0.34099;85.69233;0.53947
20;19.11.19;10:56:14.0;607.76429;64.82715;7.46007;944.79603;2.61541;85.74743;0.49615;;;;;;46.811714;6.942207;607.75148;5611.0;11.0;0.56;8.64805;17.53883;2783.83691;1096.48668;7.0;0.0;253.96282;279.54158;41.35628;24.69415;5.75996;46298.39116;24.0764;2.8306;;-0.21519;3.59981;4.47364;0.48498;73.65076;100.0;85.74743;0.28333;0.34499;85.74743;0.49615
21;19.11.19;10:56:15.0;613.77606;66.52021;7.64268;944.09446;2.60558;85.83891;0.47725;;;;;;46.811689;6.942116;613.7637;5611.0;11.0;0.56;8.63747;17.4595;2784.01541;1096.64615;7.0;0.0;247.39988;276.23154;40.58075;26.39409;6.01162;46298.294;24.07856;2.82092;;-0.21534;3.54923;4.34407;0.45613;74.28532;100.0;85.83891;0.28361;0.34529;85.83891;0.47725
22;19.11.19;10:56:16.0;619.54906;67.19609;7.86864;943.42112;2.5697;85.98802;0.44994;;;;;;46.811668;6.942024;619.53715;5669.1854;11.0;0.56582;8.62689;17.38017;2784.19391;1096.80561;7.0;0.0;241.05676;273.28532;39.66586;28.0808;5.98391;46298.46795;24.07138;2.78518;;-0.21549;3.50625;4.19849;0.39857;74.63214;100.0;85.98802;0.28463;0.3464;85.98802;0.44994
23;19.11.19;10:56:17.0;624.98182;67.34127;8.11343;942.78784;2.4764;86.13224;0.41058;;;;;;46.811648;6.94193;624.97034;5767.80473;11.0;0.57568;8.61631;17.30083;2784.3724;1096.96508;7.0;0.0;234.8229;270.45934;38.68172;29.71527;5.6128;46298.36239;24.07403;2.69202;;-0.21562;3.45022;4.05291;0.40648;75.31445;100.0;86.13224;0.2873;0.34928;86.13224;0.41058
24;19.11.19;10:56:18.0;630.35628;67.48646;8.35823;942.16174;2.51542;86.18402;0.43409;;;;;;46.81163;6.941835;630.34522;5700.15187;11.0;0.56892;8.60572;17.2215;2784.5509;1097.0;7.0;0.0;228.79707;267.8944;37.59815;31.3496;5.37575;46298.3;24.07304;2.73118;;-0.21576;3.28179;3.90733;0.52106;76.62051;100.0;86.18402;0.28618;0.34807;86.18402;0.43409
25;19.11.19;10:56:19.0;635.56494;67.63165;8.60302;941.55531;2.49785;86.05366;0.4031;;;;;;46.811613;6.941732;635.55432;5833.99084;11.0;0.5823;8.59514;17.14217;2784.7294;1097.0;7.0;0.6499;222.59004;265.52252;36.29561;33.00801;5.26411;46298.3;24.07664;2.71374;;-0.21589;3.21882;3.76175;0.58366;77.63927;100.0;86.05366;0.28669;0.34862;86.05366;0.4031
26;19.11.19;10:56:20.0;640.66295;67.77684;8.84782;940.96216;2.46578;85.67379;0.32057;;;;;;46.811597;6.941623;640.65275;5954.38677;11.0;0.59434;8.58456;17.06283;2784.9079;1097.0;7.0;325.60032;216.28083;263.09906;34.81176;34.69054;5.15217;46298.39006;24.07711;2.6818;;-0.21602;3.15585;3.64235;0.52143;77.83866;100.0;85.67379;0.28761;0.34961;85.67379;0.32057
27;19.11.19;10:56:21.0;645.26365;67.92203;9.09261;940.42723;2.57084;85.05411;0.29431;;;;;;46.81158;6.941509;645.25385;5854.18637;11.0;0.58432;8.57398;17.0;2785.08639;1097.0;7.0;650.55073;209.85151;260.43711;33.15476;36.3283;4.60796;46298.56765;24.07112;2.78697;;-0.21613;3.09288;3.60556;0.39983;77.47933;100.0;85.05411;0.28461;0.34637;85.05411;0.29431
28;19.11.19;10:56:22.0;649.52286;68.06721;9.33741;939.93239;2.68509;84.27624;0.26189;;;;;;46.811557;6.941388;649.51343;5811.0;11.0;0.58;8.5634;17.0;2785.26489;1097.0;7.0;975.50115;202.84373;257.46612;31.37358;38.01061;4.25958;46298.75188;24.06394;2.90133;;-0.21624;3.30993;3.60406;0.26755;76.93913;100.0;84.27624;0.28137;0.34286;84.27624;0.26189
