Station Position;Payerne_Start
Longitude (?);6.94368
Latitude (?);46.813018
Altitude (m);491.0

Software Version
Software; X-ASMS Brass V1.7.2
Config; SRS-C34-74, 14.08.2013

Barometric Parameter
Barometric Pressure (hPa);
Barometer Height (m);491.0

Surface Weather
Pressure (hPa);958.8
Temperature (?C);16.6
Humidity (%);88.4
Dewpoint (?C);14.7
Wind Velocity (m/s);0.2
Wind Direction (?);309
Clouds;
Ozone (nb);

Sounding;2017071200
Start Date;11.07.17
Start Time;22:50:42
Remark;

Sonde;SRS_C34
Serial Number;6001
Sonde Identifier;74
DTH;0.0

ECC Cells
Background Current Ib1 (uA);
Background Current Ib2 (uA);
Pump Performance (s/100ml);
Serial Number ECC;

IWV (mm);-9999.990

Pressure Level (hPa);1000.0
Altitude (m);133.13

Sounding Data
Rel. Time;Altitude (gpm);Wind Direction (?);Wind Velocity (m/s);Pressure (hPa);Temperature (?C);Humidity (%);Dewpoint (?C);Ozone (nbar);Ozone normalized (nbar);Pump Temperature (K);I ECC cells (uA);Level Flag;LAT (?);LON (?);Channel Temperature (?C)
0;491.02;309;0.2;958.8;16.6;88.4;14.7;;;;;1;46.81343;6.943993;18.23
1;499.42;270.71;0.31;;17.6;;;;;;;0;46.81343;6.943995;18.13
2;503.72;0.0;0.29;;17.92;;;;;;;0;46.813433;6.943997;18.03
3;508.72;0.0;0.28;;18.24;;;;;;;0;46.813437;6.944;18.13
4;514.12;337.23;0.34;;18.22;;;;;;;0;46.813438;6.944007;18.23
5;519.32;358.02;0.44;;18.21;;;;;;;0;46.81344;6.944017;18.33
6;524.12;12.74;0.54;;18.19;;;;;;;0;46.81344;6.944023;18.39
7;528.52;24.58;0.63;;18.25;;;;;;;0;46.813435;6.944027;18.45
8;533.52;35.32;0.69;;18.3;;;;;;;0;46.813428;6.944032;18.5
9;538.22;46.34;0.7;;18.3;;;;;;;0;46.813415;6.94403;18.55
10;543.12;59.5;0.65;;18.29;;;;;;;0;46.813397;6.944018;18.61
11;548.12;78.32;0.56;;18.29;;;;;;;0;46.813378;6.944002;18.59
12;553.02;108.62;0.49;;18.25;;;;;;;0;46.813365;6.94398;18.57
13;558.12;147.05;0.56;;18.2;;;;;;;0;46.813357;6.943955;18.56
14;563.62;175.0;0.82;;18.16;;;;;;;0;46.81336;6.943928;18.5
15;568.92;190.89;1.19;;18.16;;;;;;;0;46.813365;6.943907;18.44
16;574.42;200.41;1.62;;18.16;;;;;;;0;46.813382;6.943893;18.47
17;579.51;206.66;2.07;;18.22;;;;;;;0;46.813407;6.943893;18.51
18;584.11;211.04;2.51;;18.28;;;;;;;0;46.81344;6.943908;18.55
19;588.51;214.21;2.9;;18.33;;;;;;;0;46.813473;6.943933;18.57
20;593.61;216.51;3.23;;18.27;;;;;;;0;46.813508;6.943973;18.58
21;598.51;218.16;3.49;;18.21;;;;;;;0;46.813538;6.944025;18.59
22;603.61;219.27;3.68;;18.15;;;;;;;0;46.813567;6.944083;18.55
23;609.31;219.95;3.78;;18.22;;;;;;;0;46.813595;6.94414;18.51
24;614.21;220.28;3.81;;18.28;;;;;;;0;46.813622;6.944193;18.46
