Elapsed time AscRate GpsHeightMSL      P   Temp   RH   Dewp Dir Speed
           s     m/s            m    hPa     ?C    %     ?C   ?   m/s
           0     0.0        491.0 969.50  12.00 66.3   5.93  88  1.10
           1     4.9        495.6 968.91  11.64 70.1   6.40  58  0.65
           2     5.1        500.7 968.37  11.48 70.8   6.37  37  0.61
           3     5.5        506.3 967.75  11.39 71.3   6.39  30  0.64
           4     6.0        512.4 967.05  11.35 71.3   6.35  30  0.69
           5     6.2        518.8 966.26  11.30 70.9   6.23  32  0.74
           6     5.8        524.7 965.57  11.21 70.5   6.07  34  0.79
           7     5.2        529.9 965.00  11.14 70.4   5.98  34  0.84
           8     4.9        534.5 964.50  11.14 70.5   6.00  35  0.89
           9     4.9        539.4 963.92  11.14 70.6   6.01  35  0.94
          10     5.2        544.6 963.30  11.08 70.5   5.93  36  0.99
          11     5.4        550.1 962.66  11.03 70.5   5.89  37  1.04
          12     5.6        555.7 962.03  10.98 70.7   5.88  38  1.09
          13     5.5        561.3 961.38  10.91 70.9   5.84  38  1.14
          14     5.3        566.7 960.74  10.87 70.9   5.82  39  1.19
          15     5.1        571.7 960.18  10.85 71.1   5.84  40  1.24
          16     5.0        576.7 959.63  10.85 71.4   5.91  41  1.29
          17     5.2        581.9 959.03  10.79 71.7   5.89  42  1.35
          18     5.3        587.2 958.40  10.68 71.9   5.83  43  1.40
          19     5.3        592.6 957.76  10.58 72.1   5.77  44  1.45
          20     5.1        597.7 957.17  10.52 72.2   5.75  46  1.50
          21     5.0        602.5 956.64  10.48 72.4   5.74  47  1.55
          22     5.1        607.6 956.09  10.43 72.6   5.74  48  1.60
          23     5.5        613.1 955.45  10.37 73.0   5.74  49  1.65
          24     5.7        618.9 954.75  10.32 73.2   5.75  50  1.70
          25     5.5        624.5 954.10  10.26 73.4   5.72  51  1.75
          26     5.0        629.5 953.54  10.23 73.4   5.69  52  1.79
          27     4.6        634.0 953.05  10.20 73.3   5.66  53  1.83
          28     4.4        638.3 952.54  10.16 73.4   5.63  54  1.87
          29     4.5        642.8 952.03  10.12 73.7   5.64  55  1.91
          30     4.7        647.6 951.50  10.08 74.1   5.69  56  1.94
          31     4.8        652.5 950.91  10.02 74.3   5.68  57  1.97
          32     4.7        657.3 950.35   9.97 74.5   5.65  58  2.00
          33     4.6        661.8 949.84   9.92 74.6   5.63  59  2.02
          34     4.5        666.2 949.35   9.87 74.8   5.63  60  2.03
          35     4.7        670.8 948.83   9.81 75.2   5.64  61  2.05
          36     5.2        676.0 948.24   9.75 75.7   5.67  62  2.05
          37     5.7        681.8 947.55   9.69 76.0   5.68  63  2.06
          38     5.9        687.8 946.88   9.63 76.2   5.66  64  2.06
          39     5.8        693.7 946.23   9.57 76.3   5.63  66  2.05
          40     5.5        699.3 945.58   9.52 76.5   5.60  67  2.04
          41     5.1        704.4 944.97   9.48 76.4   5.55  68  2.03
          42     4.7        709.0 944.47   9.45 76.4   5.52  70  2.02
          43     4.5        713.4 943.98   9.45 76.6   5.56  71  2.00
          44     4.6        717.9 943.47   9.44 77.0   5.63  73  1.98
          45     5.0        722.8 942.89   9.41 77.7   5.71  74  1.96
          46     5.4        728.3 942.26   9.36 78.1   5.76  76  1.95
          47     5.9        734.2 941.61   9.35 78.3   5.78  78  1.93
          48     6.3        740.6 940.89   9.32 78.1   5.70  80  1.91
          49     6.5        747.3 940.13   9.32 77.6   5.61  82  1.90
          50     6.5        753.9 939.37   9.29 77.3   5.53  84  1.89
          51     6.1        760.0 938.68   9.23 77.3   5.47  86  1.88
          52     5.7        765.6 938.06   9.17 77.4   5.44  88  1.87
          53     5.5        771.0 937.45   9.09 78.0   5.46  90  1.87
          54     5.4        776.4 936.84   9.01 78.7   5.52  92  1.88
          55     5.5        781.8 936.22   8.96 79.5   5.61  94  1.88
          56     5.5        787.4 935.59   8.88 80.1   5.65  96  1.89
          57     5.6        793.0 934.95   8.80 80.5   5.64  97  1.90
          58     5.7        798.7 934.31   8.76 80.6   5.62  99  1.92
          59     5.7        804.4 933.67   8.71 80.7   5.59 100  1.93
          60     5.7        810.1 933.03   8.66 80.6   5.53 101  1.95
          61     5.8        815.9 932.37   8.61 80.5   5.47 102  1.97
          62     5.8        821.7 931.72   8.57 80.6   5.43 103  1.98
          63     6.0        827.6 931.07   8.53 80.7   5.41 104  2.00
          64     6.1        833.8 930.38   8.52 80.8   5.42 104  2.01
          65     6.2        840.1 929.64   8.48 81.3   5.46 105  2.03
          66     6.1        846.2 928.95   8.39 81.6   5.43 105  2.04
          67     5.9        851.9 928.33   8.28 81.5   5.31 105  2.04
          68     5.8        857.7 927.69   8.34 80.6   5.21 105  2.05
          69     5.9        863.6 927.01   8.49 79.5   5.16 105  2.05
          70     6.0        869.6 926.33   8.53 78.9   5.09 105  2.05
          71     6.1        875.7 925.68   8.49 78.6   4.99 105  2.04
          72     6.2        882.0 924.97   8.46 78.3   4.91 105  2.03
          73     6.1        888.2 924.24   8.47 78.0   4.87 105  2.02
          74     5.8        894.1 923.60   8.45 77.8   4.82 104  2.00
          75     5.5        899.5 923.00   8.40 78.0   4.81 104  1.97
          76     5.4        904.8 922.41   8.37 78.5   4.86 103  1.94
          77     5.4        910.2 921.82   8.33 79.1   4.93 103  1.91
          78     5.7        915.9 921.19   8.29 79.7   5.01 102  1.88
          79     5.9        921.9 920.49   8.24 80.1   5.02 101  1.84
          80     6.0        927.9 919.82   8.18 80.3   4.99 101  1.80
          81     6.0        933.9 919.17   8.13 80.1   4.92 100  1.75
          82     5.9        939.9 918.50   8.09 79.7   4.79  98  1.70
