Station Position;Payerne_Start
Longitude (°);6.94368
Latitude (°);46.813018
Altitude (m);491.0

Software Version
Software; X-ASMS Brass V1.7.2
Config; SRS-C34-57, 14.08.2013

Barometric Parameter
Barometric Pressure (hPa);
Barometer Height (m);491.0

Surface Weather
Pressure (hPa);969.5
Temperature (°C);12.0
Humidity (%);66.3
Dewpoint (°C);5.91
Wind Velocity (m/s);1.1
Wind Direction (°);088
Clouds;
Ozone (nb);

Sounding;2017102412
Start Date;24.10.17
Start Time;11:06:06
Remark;

Sonde;SRS_C34
Serial Number;4677
Sonde Identifier;57
DTH;0.0

ECC Cells
Background Current Ib1 (uA);
Background Current Ib2 (uA);
Pump Performance (s/100ml);
Serial Number ECC;

IWV (mm);17.772

Pressure Level (hPa);1000.0
Altitude (m);232.22

Sounding Data
Rel. Time;Altitude (gpm);Wind Direction (°);Wind Velocity (m/s);Pressure (hPa);Temperature (°C);Humidity (%);Dewpoint (°C);Ozone (nbar);Ozone normalized (nbar);Pump Temperature (K);I ECC cells (uA);Level Flag;LAT (°);LON (°);Channel Temperature (°C)
0;491.02;088;1.1;969.5;12.0;66.3;5.91;;;;;1;46.812925;6.943557;14.27
1;496.12;31.52;0.7;968.99;11.63;64.33;5.12;;;;;0;46.81292;6.943548;13.78
2;500.32;36.4;0.67;968.5;11.51;67.82;5.8;;;;;0;46.812912;6.943538;13.3
3;505.42;41.3;0.63;967.91;11.5;71.3;6.48;;;;;0;46.81291;6.943525;12.81
4;510.92;42.24;0.62;967.28;11.5;72.47;6.63;;;;;0;46.812907;6.943513;12.4
5;517.42;38.68;0.63;966.52;11.31;73.64;6.77;;;;;0;46.812907;6.94351;12.27
6;523.52;32.43;0.66;965.82;11.28;73.14;6.65;;;;;0;46.812907;6.94351;12.14
7;529.82;25.93;0.71;965.09;11.24;72.65;6.53;;;;;0;46.812905;6.943515;12.09
8;535.12;21.08;0.78;964.48;11.24;72.16;6.41;;;;;0;46.812907;6.943512;12.03
9;540.82;18.64;0.88;963.82;11.24;71.57;6.27;;;;;0;46.812905;6.943503;12.0
10;546.32;18.32;1.0;963.19;11.21;70.97;6.14;;;;;0;46.812902;6.943495;11.94
11;552.72;19.33;1.13;962.45;11.11;70.54;5.96;;;;;4;46.812887;6.943497;11.88
12;558.12;20.98;1.27;961.83;11.01;70.29;5.84;;;;;0;46.812868;6.943495;11.8
13;564.62;23.0;1.4;961.08;10.98;70.03;5.72;;;;;0;46.81285;6.943498;11.72
14;570.42;25.43;1.5;960.41;10.94;69.93;5.73;;;;;0;46.812833;6.943502;11.68
15;575.82;28.38;1.58;959.79;11.05;69.83;5.75;;;;;0;46.812823;6.943498;11.64
16;581.21;31.94;1.64;959.17;10.98;69.86;5.69;;;;;0;46.812812;6.943485;11.59
17;586.91;36.03;1.68;958.51;10.92;70.03;5.65;;;;;0;46.812795;6.943465;11.55
18;592.61;40.45;1.71;957.86;10.83;70.21;5.62;;;;;0;46.812777;6.943443;11.5
19;598.21;44.98;1.73;957.22;10.75;70.47;5.58;;;;;0;46.812758;6.943422;11.37
20;603.21;49.39;1.75;956.64;10.64;70.72;5.54;;;;;0;46.812743;6.943405;11.3
21;608.01;53.54;1.77;956.09;10.61;70.91;5.55;;;;;0;46.812732;6.943392;11.24
