Station Position;Payerne
Longitude (?);6.94
Latitude (?);46.81
Altitude (m);491.0

Software Version
Software; UMSS Meteo Routine 1.5
Config; SRS-C50-100, 10.02.2017

Surface Weather
Pressure (hPa);969.5
Temperature (?C);12.0
Humidity (%);66.3
Dewpoint (?C);5.91
Wind Velocity (m/s);1.0
Wind Direction (deg);084
Clouds;11502
Ozone (nb);

Sounding;20171024.12
Start Date;24.10.17
Start Time;11:06:09
Remark;

Sonde;SRS_C50
Serial Number;1083
Sonde Identifier;100

ECC Cells
Background Current Ib1 (uA);
Background Current Ib2 (uA);
Pump Performance (s/100ml);
Serial Number ECC;

IWV (mm);18.296

Pressure Level (hPa);1000.0
Altitude (m);232.22

Sounding Data
Rel. Time;Altitude (gpm);Wind Direction (?);Wind Velocity (m/s);Pressure (hPa);Temperature (?C);Humidity (%);Dewpoint (?C);Ozone (nbar);Ozone normalized (nbar);Pump Temperature (K);I ECC cells (uA);Level Flag;LAT (?);LON (?);Channel Temperature (?C)
0;491.02;084;1.0;969.5;12.0;66.3;5.91;;;;;1;46.812939;6.943474;12.29
1;501.53;76.22;0.75;968.28;11.41;67.35;5.57;;;;;0;46.812939;6.943468;12.23
2;507.09;70.01;0.78;967.64;11.31;67.93;5.6;;;;;0;46.812936;6.943458;12.14
3;512.92;58.34;0.79;966.96;11.24;68.26;5.6;;;;;0;46.812934;6.943451;12.06
4;518.44;44.8;0.82;966.32;11.17;68.43;5.58;;;;;0;46.812935;6.943444;11.97
5;522.93;32.34;0.89;965.8;11.14;68.61;5.58;;;;;0;46.812938;6.943436;12.04
6;527.05;24.12;1.0;965.33;11.1;68.84;5.59;;;;;0;46.812939;6.943425;12.12
7;531.42;17.66;1.13;964.82;11.06;69.11;5.61;;;;;0;46.812933;6.943415;12.17
8;535.79;13.67;1.27;964.32;11.03;69.37;5.64;;;;;0;46.812915;6.943404;12.05
9;540.56;11.7;1.41;963.77;11.02;69.61;5.66;;;;;0;46.812893;6.9434;11.99
10;545.72;10.54;1.53;963.17;10.94;69.79;5.62;;;;;0;46.812874;6.943407;11.93
11;553.48;9.96;1.64;962.27;10.8;69.96;5.55;;;;;4;46.81285;6.943424;11.8
12;557.76;10.45;1.66;961.78;10.84;70.04;5.59;;;;;0;46.812838;6.943426;11.76
13;563.84;12.59;1.65;961.08;10.94;70.16;5.67;;;;;0;46.812821;6.94343;11.79
14;569.93;15.49;1.62;960.38;10.84;70.33;5.65;;;;;0;46.812804;6.943421;11.65
15;576.19;19.95;1.57;959.66;10.72;70.57;5.58;;;;;0;46.812785;6.943407;11.55
16;582.5;26.01;1.53;958.93;10.56;70.82;5.51;;;;;0;46.812768;6.943396;11.38
17;588.19;32.9;1.5;958.28;10.52;71.08;5.5;;;;;0;46.812751;6.943389;11.38
18;593.34;40.01;1.49;957.69;10.51;71.32;5.5;;;;;0;46.812737;6.943383;11.46
19;598.46;46.79;1.51;957.1;10.43;71.56;5.49;;;;;0;46.812731;6.943378;11.43
20;604.07;52.85;1.55;956.45;10.34;71.77;5.47;;;;;0;46.812726;6.943372;11.21
21;610.03;57.86;1.61;955.77;10.3;71.98;5.46;;;;;0;46.812725;6.943351;11.07
22;615.73;61.66;1.69;955.11;10.25;72.2;5.46;;;;;0;46.812726;6.943317;11.0
23;622.98;64.88;1.82;954.28;10.2;72.49;5.47;;;;;4;46.812723;6.943276;11.09
24;626.45;65.54;1.9;953.89;10.16;72.64;5.47;;;;;0;46.81272;6.943258;11.07
25;630.83;65.86;2.0;953.38;10.15;72.86;5.5;;;;;0;46.812714;6.943234;11.13
26;635.15;65.39;2.11;952.89;10.15;73.06;5.52;;;;;0;46.812706;6.943214;10.97
27;639.74;64.41;2.21;952.36;10.1;73.25;5.52;;;;;0;46.812701;6.943194;11.03
28;644.6;63.18;2.31;951.81;10.01;73.43;5.49;;;;;0;46.812698;6.943174;11.18
29;649.51;61.9;2.39;951.25;9.93;73.62;5.46;;;;;0;46.812693;6.943145;11.12
30;654.3;60.76;2.46;950.7;9.88;73.81;5.43;;;;;0;46.812684;6.943111;11.23
31;658.86;59.87;2.51;950.18;9.87;74.0;5.44;;;;;0;46.812672;6.943072;10.7
32;663.96;59.42;2.53;949.59;9.83;74.2;5.43;;;;;0;46.812656;6.943036;10.57
33;669.79;59.16;2.54;948.93;9.73;74.42;5.41;;;;;0;46.812636;6.943003;10.54
34;675.8;59.3;2.53;948.24;9.68;74.64;5.39;;;;;0;46.812614;6.942971;10.55
35;681.8;59.91;2.5;947.56;9.62;74.87;5.38;;;;;0;46.812592;6.942941;10.53
36;687.77;60.86;2.45;946.88;9.57;75.08;5.37;;;;;0;46.812571;6.942916;10.54
37;693.75;62.32;2.39;946.19;9.51;75.27;5.36;;;;;0;46.812552;6.942892;10.67
38;699.46;64.14;2.32;945.54;9.44;75.45;5.36;;;;;0;46.81254;6.942864;10.58
39;704.53;66.28;2.24;944.97;9.46;75.62;5.37;;;;;0;46.812531;6.942834;10.27
40;709.29;68.77;2.16;944.43;9.47;75.79;5.39;;;;;0;46.812527;6.942805;10.65
41;713.86;71.38;2.09;943.91;9.4;75.99;5.39;;;;;0;46.812529;6.942778;10.17
