# This file links campaign flight IDs, GRUAN event IDs, rig IDs, and GRUAN standard times.
# It is required to process flights by their campaign IDs rather than their GRUAN IDs.
# This is required until #243 is fixed.
F01,158362,1,2022-08-16T08:00:00.000Z
F02,158647,1,2022-08-16T13:00:00.000Z
F04,158705,1,2022-08-17T08:00:00.000Z
F05,158373,1,2022-08-17T11:30:00.000Z
F06,158543,1,2022-08-17T14:30:00.000Z
F09,158449,1,2022-08-18T08:00:00.000Z
F10,158562,1,2022-08-18T12:30:00.000Z
F13,158564,1,2022-08-19T08:00:00.000Z
F14,158490,1,2022-08-19T12:30:00.000Z
F17,158568,1,2022-08-22T08:00:00.000Z
F18,158528,1,2022-08-22T12:45:00.000Z
F21,158531,1,2022-08-23T08:00:00.000Z
F22,158571,1,2022-08-23T13:00:00.000Z
F26,158574,1,2022-08-24T07:30:00.000Z
F27,158576,1,2022-08-24T10:30:00.000Z
F28,158671,1,2022-08-24T13:45:00.000Z
F33,158706,1,2022-08-29T08:00:00.000Z
F34,158675,1,2022-08-29T13:00:00.000Z
F37,158739,1,2022-08-30T08:00:00.000Z
F38,158741,1,2022-08-30T13:00:00.000Z
F41,158769,1,2022-08-31T08:00:00.000Z
F42,159218,1,2022-08-31T11:00:00.000Z
F43,158770,1,2022-08-31T14:00:00.000Z
F46,159223,1,2022-09-01T08:00:00.000Z
F47,159234,1,2022-09-01T11:00:00.000Z
F50,159259,1,2022-09-02T08:00:00.000Z
F51,159230,1,2022-09-02T12:00:00.000Z
F52,159232,1,2022-09-05T08:00:00.000Z
F53,159263,1,2022-09-05T13:00:00.000Z
F56,159222,1,2022-09-06T08:00:00.000Z
F57,159265,1,2022-09-06T13:00:00.000Z
F60,159365,1,2022-09-07T08:00:00.000Z
F61,159370,1,2022-09-07T12:30:00.000Z
F64,159456,1,2022-09-08T07:45:00.000Z
# F65,159515,1,2022-09-08T12:00:00.000Z  # Median ascent speed < 3 m/s in stratosphere
F68,159366,1,2022-09-09T08:00:00.000Z
F69,159517,1,2022-09-09T12:30:00.000Z
F72,159604,1,2022-09-12T08:00:00.000Z
F73,159460,1,2022-09-12T12:00:00.000Z
F76,159606,1,2022-09-13T08:00:00.000Z
F77,159463,1,2022-09-13T12:00:00.000Z
