# This file links campaign flight IDs, GRUAN event IDs, rig IDs, and GRUAN standard times.
# It is required to process flights by their campaign IDs rather than their GRUAN IDs.
# This is required until #243 is fixed.
F03,158363,1,2022-08-16T19:15:00.000Z
F07,158561,1,2022-08-17T19:30:00.000Z
F08,158375,1,2022-08-17T23:15:00.000Z
F11,158563,1,2022-08-18T19:00:00.000Z
F12,158450,1,2022-08-18T22:15:00.000Z
F15,158491,1,2022-08-19T19:00:00.000Z
F16,158566,1,2022-08-19T22:45:00.000Z
# F19,158569,1,2022-08-22T19:00:00.000Z  # Median ascent speed < 3 m/s in troposphere and stratosphere
# F20,158529,1,2022-08-22T22:30:00.000Z  # Median ascent speed < 3 m/s in stratosphere
F23,158534,1,2022-08-23T19:00:00.000Z
F24,158572,1,2022-08-23T22:00:00.000Z
F25,158535,1,2022-08-24T01:00:00.000Z
F29,158676,1,2022-08-24T19:00:00.000Z
F30,158673,1,2022-08-24T22:00:00.000Z
F31,158678,1,2022-08-28T18:45:00.000Z
F32,158674,1,2022-08-28T22:00:00.000Z
F35,158712,1,2022-08-29T18:45:00.000Z
F36,158740,1,2022-08-29T22:00:00.000Z
F39,158767,1,2022-08-30T18:45:00.000Z
F40,158772,1,2022-08-30T22:00:00.000Z
F44,159221,1,2022-08-31T18:45:00.000Z
F45,158771,1,2022-08-31T22:00:00.000Z
# F48,159257,1,2022-09-01T18:30:00.000Z  # Corrupted (gdp)iMS-100 data - no CWS
F49,159224,1,2022-09-01T22:00:00.000Z
F54,159264,1,2022-09-05T19:00:00.000Z
F55,159233,1,2022-09-05T22:00:00.000Z
F58,159364,1,2022-09-06T18:30:00.000Z
F59,159369,1,2022-09-06T21:20:00.000Z
F62,159371,1,2022-09-07T20:00:00.000Z
F63,159368,1,2022-09-07T22:45:00.000Z
F66,159516,1,2022-09-08T19:00:00.000Z
F67,159457,1,2022-09-08T22:15:00.000Z
F70,159458,1,2022-09-09T19:00:00.000Z
F71,159603,1,2022-09-09T22:00:00.000Z
F74,159461,1,2022-09-12T18:00:00.000Z
F75,159605,1,2022-09-12T21:15:00.000Z
F78,159608,1,2022-09-13T18:00:00.000Z
F79,159609,1,2022-09-13T21:00:00.000Z
