Station Position;Payerne
Longitude (?);6.94
Latitude (?);46.81
Altitude (m);491.0

Software Version
Software; UMSS Meteo Routine 1.5
Config; SRS-C50-100, 10.02.2017

Surface Weather
Pressure (hPa);958.9
Temperature (?C);16.6
Humidity (%);88.4
Dewpoint (?C);14.67
Wind Velocity (m/s);0.0
Wind Direction (deg);000
Clouds;15671
Ozone (nb);

Sounding;20170712.00
Start Date;11.07.17
Start Time;22:50:43
Remark;

Sonde;SRS_C50
Serial Number;761
Sonde Identifier;100

ECC Cells
Background Current Ib1 (uA);
Background Current Ib2 (uA);
Pump Performance (s/100ml);
Serial Number ECC;

IWV (mm);34.845

Pressure Level (hPa);1000.0
Altitude (m);134.01

Sounding Data
Rel. Time;Altitude (gpm);Wind Direction (?);Wind Velocity (m/s);Pressure (hPa);Temperature (?C);Humidity (%);Dewpoint (?C);Ozone (nbar);Ozone normalized (nbar);Pump Temperature (K);I ECC cells (uA);Level Flag;LAT (?);LON (?);Channel Temperature (?C)
0;491.02;000;0.0;958.9;16.6;88.4;14.67;;;;;1;46.813429;6.943972;17.39
1;500.23;0.0;0.17;957.87;18.23;86.83;15.88;;;;;0;46.813431;6.943973;17.58
2;504.75;0.0;0.18;957.37;18.27;85.68;15.81;;;;;0;46.813433;6.943978;18.02
3;510.0;0.0;0.22;956.78;18.25;85.15;15.71;;;;;0;46.813434;6.943983;18.15
4;516.95;6.08;0.35;956.01;18.25;84.58;15.63;;;;;4;46.813436;6.943991;18.1
5;519.81;13.73;0.4;955.69;18.27;84.4;15.62;;;;;0;46.813436;6.943994;18.08
6;524.6;24.72;0.48;955.16;18.37;84.18;15.63;;;;;0;46.813433;6.943998;18.09
7;529.44;34.25;0.52;954.62;18.37;84.17;15.65;;;;;0;46.813425;6.943999;18.22
8;536.09;50.3;0.47;953.88;18.46;84.43;15.74;;;;;4;46.813408;6.943994;18.31
9;540.92;65.2;0.41;953.34;18.42;84.6;15.74;;;;;4;46.813396;6.943981;18.38
10;543.76;87.15;0.43;953.03;18.34;84.72;15.73;;;;;0;46.813388;6.943973;18.36
11;548.37;123.07;0.47;952.52;18.34;84.75;15.71;;;;;0;46.813377;6.943958;18.27
12;555.36;173.36;0.53;951.74;18.24;84.45;15.57;;;;;4;46.813371;6.943931;18.25
13;558.43;183.73;0.71;951.4;18.22;84.17;15.5;;;;;0;46.813374;6.943922;18.16
14;565.55;200.21;1.19;950.61;18.18;83.33;15.34;;;;;4;46.813388;6.943908;18.14
15;568.84;204.04;1.42;950.25;18.17;82.88;15.27;;;;;0;46.813398;6.943907;18.15
16;574.22;209.26;1.82;949.65;18.22;82.13;15.15;;;;;0;46.813418;6.943914;18.2
17;579.17;212.83;2.2;949.11;18.3;81.37;15.04;;;;;0;46.813442;6.943927;18.27
18;583.9;215.6;2.56;948.58;18.28;80.74;14.92;;;;;0;46.813466;6.943948;18.29
19;591.1;218.42;3.0;947.79;18.35;79.9;14.76;;;;;4;46.8135;6.943997;18.33
20;594.17;218.94;3.12;947.45;18.32;79.55;14.69;;;;;0;46.813515;6.944017;18.38
21;599.68;219.82;3.31;946.84;18.22;79.12;14.58;;;;;0;46.813542;6.944055;18.3
22;604.91;220.32;3.45;946.27;18.22;78.75;14.48;;;;;0;46.813568;6.944099;18.23
23;610.01;220.41;3.52;945.7;18.24;78.46;14.43;;;;;0;46.813594;6.944147;18.21
24;615.31;220.23;3.52;945.12;18.35;78.2;14.42;;;;;0;46.81362;6.944195;18.33
25;619.83;219.97;3.5;944.62;18.34;77.95;14.41;;;;;0;46.813644;6.944241;18.35
26;624.33;219.69;3.46;944.13;18.34;77.78;14.39;;;;;0;46.813669;6.944281;18.35
27;629.08;219.44;3.4;943.61;18.3;77.74;14.35;;;;;0;46.813694;6.944311;18.34
28;638.23;219.45;3.28;942.6;18.18;77.75;14.23;;;;;2;46.813748;6.944342;18.25
29;638.44;219.46;3.28;942.58;18.17;77.75;14.23;;;;;0;46.813749;6.944342;18.25
30;643.09;219.89;3.23;942.07;18.1;77.69;14.17;;;;;0;46.813776;6.944351;18.2
31;647.85;220.67;3.19;941.55;18.14;77.59;14.12;;;;;0;46.813798;6.944358;18.17
32;653.05;221.83;3.17;940.98;18.01;77.28;14.04;;;;;0;46.813817;6.944369;18.08
33;658.85;223.35;3.16;940.34;18.12;76.69;14.03;;;;;0;46.813832;6.944386;18.27
34;664.5;225.19;3.16;939.72;18.57;75.83;14.14;;;;;0;46.813846;6.944412;18.42
35;669.61;227.29;3.17;939.16;18.68;74.74;14.14;;;;;0;46.813861;6.944447;18.45
36;674.37;229.51;3.2;938.64;19.05;73.49;14.2;;;;;0;46.813879;6.944488;18.59
37;679.18;231.75;3.24;938.12;19.32;72.16;14.16;;;;;0;46.813902;6.944533;18.89
38;684.19;233.96;3.28;937.57;19.38;70.83;13.93;;;;;0;46.813927;6.944578;19.1
39;689.22;236.03;3.33;937.03;19.34;69.68;13.77;;;;;0;46.813953;6.944618;19.2
40;694.22;237.9;3.38;936.48;19.62;68.59;13.69;;;;;0;46.813976;6.944654;19.16
41;699.06;239.55;3.43;935.96;19.76;67.79;13.66;;;;;0;46.813994;6.944685;19.45
42;707.38;241.69;3.51;935.06;19.95;67.22;13.68;;;;;2;46.814011;6.944738;19.62
43;710.81;242.41;3.54;934.69;19.99;67.18;13.72;;;;;2;46.814015;6.944763;19.48
44;714.25;243.0;3.57;934.31;20.0;67.43;13.76;;;;;0;46.814016;6.944789;19.49
45;718.77;243.73;3.61;933.82;19.98;67.77;13.81;;;;;0;46.814019;6.944833;19.76
46;723.4;244.26;3.64;933.32;19.92;68.12;13.87;;;;;0;46.814025;6.944884;19.78
47;728.5;244.59;3.68;932.77;19.92;68.53;13.95;;;;;0;46.814036;6.944942;19.71
48;733.58;244.78;3.71;932.22;19.89;68.95;14.01;;;;;0;46.814054;6.945002;19.8
49;738.31;244.86;3.74;931.71;19.84;69.33;14.06;;;;;0;46.814075;6.945058;19.72
50;742.79;244.87;3.77;931.23;19.82;69.67;14.11;;;;;0;46.814097;6.945105;19.68
51;747.4;244.86;3.81;930.73;19.8;69.96;14.15;;;;;0;46.814118;6.945147;19.68
52;752.54;244.86;3.85;930.18;19.79;70.2;14.18;;;;;0;46.814135;6.945182;19.7
53;760.67;245.0;3.92;929.3;19.71;70.53;14.2;;;;;2;46.814154;6.945231;19.66
54;763.19;245.05;3.94;929.03;19.68;70.61;14.18;;;;;0;46.814157;6.945247;19.64
55;768.55;245.32;3.99;928.45;19.59;70.74;14.14;;;;;0;46.814165;6.945284;19.6
56;773.61;245.7;4.05;927.91;19.58;70.81;14.13;;;;;0;46.814175;6.945327;19.53
57;778.47;246.08;4.1;927.39;19.56;70.81;14.12;;;;;0;46.814188;6.945378;19.49
58;783.18;246.58;4.16;926.88;19.56;70.78;14.11;;;;;0;46.814205;6.945434;19.38
59;787.82;247.23;4.23;926.38;19.56;70.74;14.1;;;;;0;46.814228;6.945491;19.54
60;792.71;247.93;4.29;925.86;19.54;70.76;14.09;;;;;0;46.814254;6.945546;19.49
61;800.69;249.08;4.38;925.0;19.52;70.99;14.1;;;;;10;46.81429;6.945623;19.39
62;803.37;249.48;4.41;924.71;19.48;71.13;14.11;;;;;0;46.814298;6.945648;19.4
63;808.68;250.28;4.46;924.14;19.41;71.5;14.13;;;;;0;46.814313;6.945698;19.42
64;813.64;251.08;4.51;923.61;19.38;71.98;14.19;;;;;0;46.814322;6.945748;19.37
65;818.25;251.84;4.54;923.12;19.3;72.49;14.25;;;;;0;46.814329;6.945802;19.34
66;822.65;252.6;4.57;922.65;19.25;73.01;14.31;;;;;0;46.814334;6.945862;19.35
67;827.09;253.31;4.59;922.17;19.27;73.45;14.38;;;;;0;46.814341;6.945928;19.35
68;831.72;253.97;4.6;921.68;19.26;73.65;14.41;;;;;0;46.814352;6.946;19.28
69;836.47;254.57;4.61;921.17;19.19;73.77;14.38;;;;;0;46.814366;6.946075;19.24
70;841.16;255.12;4.6;920.67;19.14;73.66;14.33;;;;;0;46.814382;6.946148;19.18
71;845.27;255.6;4.59;920.23;19.14;73.35;14.25;;;;;0;46.814396;6.946216;19.13
72;849.27;256.04;4.57;919.8;19.09;72.92;14.11;;;;;0;46.81441;6.946278;19.11
73;853.68;256.44;4.55;919.33;19.02;72.42;13.94;;;;;0;46.814419;6.94633;19.07
74;858.37;256.8;4.53;918.83;18.93;71.9;13.75;;;;;0;46.814424;6.946378;19.0
75;863.33;257.1;4.51;918.3;18.85;71.37;13.56;;;;;0;46.814426;6.946427;18.95
76;868.19;257.36;4.5;917.78;18.79;70.85;13.39;;;;;0;46.814428;6.946478;18.91
77;872.62;257.63;4.48;917.31;18.74;70.36;13.24;;;;;0;46.814433;6.946532;18.78
78;876.96;257.89;4.47;916.84;18.7;69.96;13.11;;;;;0;46.81444;6.946592;18.74
79;881.62;258.11;4.45;916.35;18.7;69.71;13.06;;;;;0;46.814451;6.946651;18.76
80;886.48;258.26;4.45;915.83;18.72;69.63;13.05;;;;;0;46.814464;6.94671;18.77
81;893.56;258.39;4.45;915.08;18.7;69.79;13.06;;;;;4;46.814485;6.946782;18.78
82;896.72;258.4;4.45;914.74;18.61;69.94;13.03;;;;;0;46.814494;6.946812;18.76
83;901.72;258.38;4.46;914.21;18.59;70.23;13.08;;;;;0;46.814504;6.946861;18.72
84;906.43;258.28;4.46;913.71;18.61;70.52;13.15;;;;;0;46.814512;6.94691;18.71
85;910.93;258.1;4.47;913.23;18.65;70.77;13.2;;;;;0;46.814516;6.946961;18.68
86;915.58;257.84;4.48;912.73;18.59;70.98;13.23;;;;;0;46.814514;6.947019;18.7
87;920.44;257.5;4.49;912.22;18.57;71.17;13.24;;;;;0;46.814511;6.947087;18.65
88;925.08;257.08;4.51;911.73;18.55;71.37;13.27;;;;;0;46.814509;6.94716;18.63
89;929.64;256.58;4.52;911.24;18.51;71.61;13.3;;;;;0;46.814512;6.947235;18.6
90;934.1;256.04;4.54;910.77;18.47;71.88;13.32;;;;;0;46.814519;6.947308;18.59
91;938.45;255.45;4.56;910.31;18.52;72.21;13.36;;;;;0;46.814532;6.947374;18.59
92;943.06;254.83;4.58;909.82;18.44;72.56;13.4;;;;;0;46.814548;6.947429;18.54
93;947.86;254.18;4.61;909.31;18.34;72.95;13.42;;;;;0;46.814565;6.947477;18.48
94;952.57;253.54;4.64;908.81;18.33;73.35;13.48;;;;;0;46.814581;6.94752;18.54
95;956.95;252.91;4.68;908.35;18.4;73.64;13.56;;;;;0;46.814594;6.947556;18.51
96;961.39;252.3;4.72;907.88;18.46;73.89;13.63;;;;;0;46.814605;6.947601;18.53
97;966.12;251.72;4.77;907.38;18.42;74.14;13.68;;;;;0;46.814615;6.947657;18.53
98;970.97;251.17;4.82;906.87;18.35;74.2;13.68;;;;;0;46.814626;6.947713;18.49
99;975.79;250.66;4.88;906.36;18.33;74.09;13.62;;;;;0;46.814638;6.94777;18.45
100;980.59;250.18;4.94;905.85;18.26;73.89;13.53;;;;;0;46.814653;6.947836;18.41
101;985.2;249.74;5.0;905.37;18.22;73.65;13.43;;;;;0;46.814672;6.947909;18.34
